,parent_name,child_name,group
0,Discrete mathematics,Combinatorics,10002950_1
1,Combinatorics,Combinatoric problems,10002950_1
2,Combinatorics,Permutations and combinations,10002950_1
3,Combinatorics,Combinatorial algorithms,10002950_1
4,Combinatorics,Generating functions,10002950_1
5,Combinatorics,Combinatorial optimization,10002950_1
6,Combinatorics,Combinatorics on words,10002950_1
7,Combinatorics,Enumeration,10002950_1
8,Discrete mathematics,Graph theory,10002950_1
9,Graph theory,Trees,10002950_1
10,Graph theory,Hypergraphs,10002950_1
11,Graph theory,Random graphs,10002950_1
12,Graph theory,Graph coloring,10002950_1
13,Graph theory,Paths and connectivity problems,10002950_1
14,Graph theory,Graph enumeration,10002950_1
15,Graph theory,Matchings and factors,10002950_1
16,Graph theory,Graphs and surfaces,10002950_1
17,Graph theory,Network flows,10002950_1
18,Graph theory,Spectra of graphs,10002950_1
19,Graph theory,Extremal graph theory,10002950_1
20,Graph theory,Matroids and greedoids,10002950_1
21,Graph theory,Graph algorithms,10002950_1
22,Graph theory,Approximation algorithms,10002950_1
23,Probability and statistics,Probabilistic representations,10002950_2
24,Probabilistic representations,Bayesian networks,10002950_2
25,Probabilistic representations,Markov networks,10002950_2
26,Probabilistic representations,Factor graphs,10002950_2
27,Probabilistic representations,Decision diagrams,10002950_2
28,Probabilistic representations,Equational models,10002950_2
29,Probabilistic representations,Causal networks,10002950_2
30,Probabilistic representations,Stochastic differential equations,10002950_2
31,Probabilistic representations,Nonparametric representations,10002950_2
32,Nonparametric representations,Kernel density estimators,10002950_2
33,Nonparametric representations,Spline models,10002950_2
34,Nonparametric representations,Bayesian nonparametric models,10002950_2
35,Probability and statistics,Probabilistic inference problems,10002950_2
36,Probabilistic inference problems,Maximum likelihood estimation,10002950_2
37,Probabilistic inference problems,Bayesian computation,10002950_2
38,Probabilistic inference problems,Computing most probable explanation,10002950_2
39,Probabilistic inference problems,Hypothesis testing and confidence interval computation,10002950_2
40,Probabilistic inference problems,Density estimation,10002950_2
41,Density estimation,Quantile regression,10002950_2
42,Probabilistic inference problems,Max marginal computation,10002950_2
43,Probability and statistics,Probabilistic reasoning algorithms,10002950_2
44,Probabilistic reasoning algorithms,Variable elimination,10002950_2
45,Probabilistic reasoning algorithms,Loopy belief propagation,10002950_2
46,Probabilistic reasoning algorithms,Variational methods,10002950_2
47,Probabilistic reasoning algorithms,Expectation maximization,10002950_2
48,Probabilistic reasoning algorithms,Markov-chain Monte Carlo methods,10002950_2
49,Markov-chain Monte Carlo methods,Gibbs sampling,10002950_2
50,Markov-chain Monte Carlo methods,Metropolis-Hastings algorithm,10002950_2
51,Markov-chain Monte Carlo methods,Simulated annealing,10002950_2
52,Markov-chain Monte Carlo methods,Markov-chain Monte Carlo convergence measures,10002950_2
53,Probabilistic reasoning algorithms,Sequential Monte Carlo methods,10002950_2
54,Probabilistic reasoning algorithms,Kalman filters and hidden Markov models,10002950_2
55,Probabilistic reasoning algorithms,Resampling methods,10002950_2
56,Resampling methods,Bootstrapping,10002950_2
57,Resampling methods,Jackknifing,10002950_2
58,Probabilistic reasoning algorithms,Random number generation,10002950_2
59,Probability and statistics,Probabilistic algorithms,10002950_2
60,Probability and statistics,Statistical paradigms,10002950_2
61,Statistical paradigms,Queueing theory,10002950_2
62,Statistical paradigms,Contingency table analysis,10002950_2
63,Statistical paradigms,Regression analysis,10002950_2
64,Regression analysis,Robust regression,10002950_2
65,Statistical paradigms,Time series analysis,10002950_2
66,Statistical paradigms,Survival analysis,10002950_2
67,Statistical paradigms,Renewal theory,10002950_2
68,Statistical paradigms,Dimensionality reduction,10002950_2
69,Statistical paradigms,Cluster analysis,10002950_2
70,Statistical paradigms,Statistical graphics,10002950_2
71,Statistical paradigms,Exploratory data analysis,10002950_2
72,Probability and statistics,Stochastic processes,10002950_2
73,Stochastic processes,Markov processes,10002950_2
74,Probability and statistics,Nonparametric statistics,10002950_2
75,Probability and statistics,Distribution functions,10002950_2
76,Probability and statistics,Multivariate statistics,10002950_2
77,Mathematical software,Solvers,10002950_3
78,Mathematical software,Statistical software,10002950_3
79,Mathematical software,Mathematical software performance,10002950_3
80,Mathematical analysis,Numerical analysis,10002950_4
81,Numerical analysis,Computation of transforms,10002950_4
82,Numerical analysis,Computations in finite fields,10002950_4
83,Numerical analysis,Computations on matrices,10002950_4
84,Numerical analysis,Computations on polynomials,10002950_4
85,Computations on polynomials,Gr枚bner bases and other special bases,10002950_4
86,Numerical analysis,Number-theoretic computations,10002950_4
87,Numerical analysis,Interpolation,10002950_4
88,Numerical analysis,Numerical differentiation,10002950_4
89,Numerical analysis,Interval arithmetic,10002950_4
90,Numerical analysis,Arbitrary-precision arithmetic,10002950_4
91,Numerical analysis,Automatic differentiation,10002950_4
92,Numerical analysis,Mesh generation,10002950_4
93,Numerical analysis,Discretization,10002950_4
94,Mathematical analysis,Mathematical optimization,10002950_4
95,Mathematical analysis,Differential equations,10002950_4
96,Differential equations,Ordinary differential equations,10002950_4
97,Differential equations,Partial differential equations,10002950_4
98,Differential equations,Differential algebraic equations,10002950_4
99,Differential equations,Differential variational inequalities,10002950_4
100,Mathematical analysis,Calculus,10002950_4
101,Mathematical analysis,Functional analysis,10002950_4
102,Functional analysis,Approximation,10002950_4
103,Mathematical analysis,Integral equations,10002950_4
104,Mathematical analysis,Nonlinear equations,10002950_4
105,Mathematical analysis,Quadrature,10002950_4
106,Continuous mathematics,Calculus,10002950_5
107,Continuous mathematics,Topology,10002950_5
108,Topology,Point-set topology,10002950_5
109,Topology,Algebraic topology,10002950_5
110,Topology,Geometric topology,10002950_5
111,Continuous mathematics,Continuous functions,10002950_5
112,Data management systems,Database design and models,10002951_1
113,Database design and models,Relational database model,10002951_1
114,Database design and models,Entity relationship models,10002951_1
115,Database design and models,Graph-based database models,10002951_1
116,Graph-based database models,Hierarchical data models,10002951_1
117,Graph-based database models,Network data models,10002951_1
118,Database design and models,Physical data models,10002951_1
119,Database design and models,Data model extensions,10002951_1
120,Data model extensions,Semi-structured data,10002951_1
121,Data model extensions,Data streams,10002951_1
122,Data model extensions,Data provenance,10002951_1
123,Data model extensions,Incomplete data,10002951_1
124,Data model extensions,Temporal data,10002951_1
125,Data model extensions,Uncertainty,10002951_1
126,Data model extensions,Inconsistent data,10002951_1
127,Data management systems,Data structures,10002951_1
128,Data structures,Data access methods,10002951_1
129,Data access methods,Multidimensional range search,10002951_1
130,Data access methods,Data scans,10002951_1
131,Data access methods,Point lookups,10002951_1
132,Data access methods,Unidimensional range search,10002951_1
133,Data access methods,Proximity search,10002951_1
134,Data structures,Data layout,10002951_1
135,Data layout,Data compression,10002951_1
136,Data layout,Data encryption,10002951_1
137,Data layout,Record and block layout,10002951_1
138,Data management systems,Database management system engines,10002951_1
